#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
322348:7131,09/06/18 13:43:39,1466,HLT_IsoMu24_v13,0.430054056,0.414115030
322355:7132,09/07/18 01:05:42,99,HLT_IsoMu24_v13,0.036049275,0.033876428
322356:7132,09/07/18 01:45:19,779,HLT_IsoMu24_v13,0.242599960,0.234584984
322381:7133,09/07/18 11:10:32,533,HLT_IsoMu24_v13,0.186112713,0.178731076
322407:7135,09/07/18 17:47:22,537,HLT_IsoMu24_v13,0.178565543,0.169959735
322430:7137,09/08/18 01:19:19,735,HLT_IsoMu24_v13,0.243685494,0.235403052
322431:7137,09/08/18 06:12:25,1161,HLT_IsoMu24_v13,0.235684808,0.227639493
322480:7139,09/08/18 17:33:13,334,HLT_IsoMu24_v13,0.115696934,0.109338163
322492:7139,09/08/18 20:56:03,1386,HLT_IsoMu24_v13,0.297742455,0.287516409
322510:7142,09/09/18 08:32:39,9,HLT_IsoMu24_v13,0.002497762,0.002228898
322599:7144,09/09/18 15:58:47,250,HLT_IsoMu24_v13,0.099781575,0.094351445
322602:7144,09/09/18 17:40:01,69,HLT_IsoMu24_v13,0.025794573,0.024109226
322603:7144,09/09/18 18:08:09,10,HLT_IsoMu24_v13,0.003641638,0.002693914
322605:7144,09/09/18 18:13:23,278,HLT_IsoMu24_v13,0.092827914,0.089624558
322617:7144,09/09/18 21:12:33,601,HLT_IsoMu24_v13,0.141695210,0.136646284
322633:7145,09/10/18 10:51:34,249,HLT_IsoMu24_v13,0.052624938,0.050945858
323414:7213,09/24/18 01:51:16,39,HLT_IsoMu24_v13,0.006719451,0.006204142
323423:7213,09/24/18 05:01:48,133,HLT_IsoMu24_v13,0.021797476,0.021037074
323470:7217,09/24/18 13:47:51,221,HLT_IsoMu24_v13,0.084339367,0.080200895
323471:7217,09/24/18 15:18:19,232,HLT_IsoMu24_v13,0.080490693,0.075496214
323472:7217,09/24/18 16:50:41,64,HLT_IsoMu24_v13,0.020336111,0.019315330
323473:7217,09/24/18 17:40:41,202,HLT_IsoMu24_v13,0.057248530,0.054519958
323474:7217,09/24/18 19:42:20,352,HLT_IsoMu24_v13,0.080373971,0.077808151
323475:7217,09/24/18 22:00:42,77,HLT_IsoMu24_v13,0.014812379,0.014194141
323487:7218,09/25/18 03:28:20,449,HLT_IsoMu24_v13,0.160414180,0.154167367
323488:7218,09/25/18 06:30:08,745,HLT_IsoMu24_v13,0.193197326,0.186198495
323492:7218,09/25/18 11:45:43,28,HLT_IsoMu24_v13,0.006046379,0.005823224
323493:7218,09/25/18 11:58:37,140,HLT_IsoMu24_v13,0.028298345,0.027375185
323495:7218,09/25/18 12:54:31,187,HLT_IsoMu24_v13,0.033597169,0.032346650
323524:7221,09/25/18 22:36:20,530,HLT_IsoMu24_v13,0.179517493,0.172935648
323525:7221,09/26/18 02:05:25,1117,HLT_IsoMu24_v13,0.251761033,0.242649452
323526:7221,09/26/18 09:22:43,462,HLT_IsoMu24_v13,0.066501260,0.064950894
323693:7234,09/29/18 01:47:30,113,HLT_IsoMu24_v13,0.042503866,0.040083728
323696:7234,09/29/18 02:33:10,257,HLT_IsoMu24_v13,0.093142839,0.088848506
323702:7234,09/29/18 08:56:34,808,HLT_IsoMu24_v13,0.150178440,0.145959086
323725:7236,09/29/18 18:38:39,326,HLT_IsoMu24_v13,0.124161876,0.118534126
323726:7236,09/29/18 20:49:58,53,HLT_IsoMu24_v13,0.018453398,0.014606590
323727:7236,09/29/18 21:13:04,970,HLT_IsoMu24_v13,0.255627436,0.246905185
323755:7239,09/30/18 11:17:44,929,HLT_IsoMu24_v13,0.308089144,0.296641630
323775:7240,09/30/18 19:49:18,129,HLT_IsoMu24_v13,0.049073005,0.046768177
323778:7240,09/30/18 20:41:26,934,HLT_IsoMu24_v13,0.282909002,0.270937829
323790:7242,10/01/18 07:35:02,895,HLT_IsoMu24_v13,0.288881426,0.276739615
323794:7242,10/01/18 13:29:17,68,HLT_IsoMu24_v13,0.016768456,0.016056696
323841:7245,10/01/18 23:32:02,463,HLT_IsoMu24_v13,0.162435287,0.155039521
323857:7245,10/02/18 02:35:30,357,HLT_IsoMu24_v13,0.098889718,0.095513815
323940:7252,10/03/18 01:12:47,1514,HLT_IsoMu24_v13,0.446035605,0.426709389
323954:7252,10/03/18 11:06:37,77,HLT_IsoMu24_v13,0.015712883,0.015141003
323976:7253,10/03/18 14:01:34,44,HLT_IsoMu24_v13,0.015721168,0.014398900
323978:7253,10/03/18 14:23:01,68,HLT_IsoMu24_v13,0.027110135,0.021951990
323980:7253,10/03/18 14:51:36,194,HLT_IsoMu24_v13,0.071230536,0.067732495
323983:7253,10/03/18 16:11:58,184,HLT_IsoMu24_v13,0.059690239,0.056791838
323997:7253,10/03/18 17:30:39,498,HLT_IsoMu24_v13,0.134604714,0.128792620
324021:7256,10/04/18 01:48:39,759,HLT_IsoMu24_v13,0.264376616,0.252487076
324022:7256,10/04/18 06:50:15,554,HLT_IsoMu24_v13,0.131867029,0.127786225
324077:7259,10/04/18 22:20:56,699,HLT_IsoMu24_v13,0.252293601,0.242584758
324201:7264,10/06/18 23:58:19,1355,HLT_IsoMu24_v13,0.377754511,0.362859736
324202:7264,10/07/18 08:48:52,238,HLT_IsoMu24_v13,0.040101120,0.039241311
324205:7264,10/07/18 10:31:04,160,HLT_IsoMu24_v13,0.023677785,0.022963535
324206:7264,10/07/18 11:38:14,133,HLT_IsoMu24_v13,0.018046629,0.017522886
324207:7264,10/07/18 12:44:24,33,HLT_IsoMu24_v13,0.004195293,0.004054591
324209:7264,10/07/18 13:02:20,142,HLT_IsoMu24_v13,0.016389622,0.016078746
324237:7265,10/07/18 21:29:58,204,HLT_IsoMu24_v13,0.078674456,0.074992447
324245:7266,10/08/18 01:31:07,1659,HLT_IsoMu24_v13,0.433800379,0.417201691
324293:7270,10/08/18 23:08:14,2302,HLT_IsoMu24_v13,0.530794795,0.513038391
324315:7271,10/09/18 16:26:19,199,HLT_IsoMu24_v13,0.074233333,0.070437214
324318:7271,10/09/18 17:53:42,331,HLT_IsoMu24_v13,0.104259144,0.099840960
324420:7274,10/11/18 00:24:57,625,HLT_IsoMu24_v13,0.209586938,0.199728582
324729:7308,10/16/18 09:28:04,193,HLT_IsoMu24_v13,0.015343199,0.014796991
324747:7309,10/16/18 12:56:26,1072,HLT_IsoMu24_v13,0.322901247,0.308248329
324764:7309,10/16/18 19:54:47,143,HLT_IsoMu24_v13,0.031177255,0.030065526
324765:7309,10/16/18 20:52:50,478,HLT_IsoMu24_v13,0.090477298,0.087679915
324769:7309,10/16/18 23:59:45,328,HLT_IsoMu24_v13,0.047990264,0.046770197
324772:7309,10/17/18 02:48:00,165,HLT_IsoMu24_v13,0.019188275,0.018782673
324785:7310,10/17/18 06:16:27,582,HLT_IsoMu24_v13,0.193330272,0.185798935
324791:7310,10/17/18 10:04:47,1217,HLT_IsoMu24_v13,0.252930317,0.245008389
324835:7314,10/17/18 22:30:14,254,HLT_IsoMu24_v13,0.094839185,0.085856699
324840:7314,10/18/18 00:41:14,90,HLT_IsoMu24_v13,0.030287345,0.027721884
324841:7314,10/18/18 01:18:35,1343,HLT_IsoMu24_v13,0.311958473,0.301009532
324846:7314,10/18/18 10:06:07,515,HLT_IsoMu24_v13,0.070651245,0.068553152
324878:7315,10/18/18 16:07:07,1734,HLT_IsoMu24_v13,0.417947869,0.403019079
324897:7317,10/19/18 06:41:04,141,HLT_IsoMu24_v13,0.053284480,0.050229194
324970:7320,10/19/18 15:42:39,2183,HLT_IsoMu24_v13,0.497974610,0.479468127
324980:7321,10/20/18 08:16:24,2263,HLT_IsoMu24_v13,0.535222639,0.513297831
324997:7324,10/21/18 04:34:58,115,HLT_IsoMu24_v13,0.042527406,0.038587071
324998:7324,10/21/18 05:23:14,361,HLT_IsoMu24_v13,0.121187200,0.114236184
324999:7324,10/21/18 07:47:04,14,HLT_IsoMu24_v13,0.004195134,0.003883504
325000:7324,10/21/18 08:03:55,371,HLT_IsoMu24_v13,0.098211313,0.094664110
325001:7324,10/21/18 10:29:40,592,HLT_IsoMu24_v13,0.123407318,0.119138567
325022:7328,10/21/18 21:10:37,1550,HLT_IsoMu24_v13,0.447818974,0.433388530
325057:7331,10/22/18 14:07:34,342,HLT_IsoMu24_v13,0.126568844,0.120049324
325097:7333,10/22/18 21:19:15,54,HLT_IsoMu24_v13,0.019943765,0.017770246
325098:7333,10/22/18 21:46:04,8,HLT_IsoMu24_v13,0.003173597,0.002038540
325099:7333,10/22/18 21:50:54,387,HLT_IsoMu24_v13,0.145535679,0.139171868
325100:7333,10/23/18 00:24:31,252,HLT_IsoMu24_v13,0.078346205,0.074467703
325101:7333,10/23/18 02:07:46,482,HLT_IsoMu24_v13,0.122751758,0.118270941
