#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
316701:6710,05/21/18 14:12:33,474,HLT_IsoMu24_v13,0.149283393,0.143934331
316702:6710,05/21/18 17:21:19,388,HLT_IsoMu24_v13,0.098397595,0.095462417
316715:6711,05/22/18 01:10:33,13,HLT_IsoMu24_v13,0.003351276,0.003000557
316716:6711,05/22/18 01:30:21,174,HLT_IsoMu24_v13,0.067181759,0.061793307
316717:6711,05/22/18 02:44:00,190,HLT_IsoMu24_v13,0.065958857,0.063386389
316718:6711,05/22/18 04:00:35,310,HLT_IsoMu24_v13,0.093426560,0.089952514
316719:6711,05/22/18 06:17:36,131,HLT_IsoMu24_v13,0.034123429,0.032449669
316720:6711,05/22/18 07:16:06,182,HLT_IsoMu24_v13,0.043150901,0.041732333
316721:6711,05/22/18 08:29:42,15,HLT_IsoMu24_v13,0.003344681,0.003260094
316722:6711,05/22/18 08:45:58,747,HLT_IsoMu24_v13,0.139195624,0.134761087
316723:6711,05/22/18 13:38:48,64,HLT_IsoMu24_v13,0.009830609,0.009621165
316758:6712,05/22/18 16:43:00,1599,HLT_IsoMu24_v13,0.472005571,0.455685588
316766:6714,05/23/18 05:50:20,2148,HLT_IsoMu24_v13,0.578889068,0.561056135
316876:6719,05/24/18 23:17:15,593,HLT_IsoMu24_v13,0.230901223,0.216380329
316877:6719,05/25/18 03:18:15,394,HLT_IsoMu24_v13,0.114907700,0.111052148
316879:6719,05/25/18 06:01:35,154,HLT_IsoMu24_v13,0.038022698,0.036513340
316928:6724,05/25/18 17:30:22,149,HLT_IsoMu24_v13,0.045713748,0.044417541
316985:6731,05/27/18 20:04:08,470,HLT_IsoMu24_v13,0.177657545,0.172547627
316993:6733,05/28/18 03:32:50,210,HLT_IsoMu24_v13,0.079334145,0.074474368
316994:6733,05/28/18 04:58:46,14,HLT_IsoMu24_v13,0.005071516,0.004777139
316995:6733,05/28/18 05:06:29,623,HLT_IsoMu24_v13,0.191897012,0.186195824
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_IsoMu24_v11,23,50,22637,5.442660393,5.290445832
#HLT_IsoMu24_v12,10,26,13262,3.781037891,3.651035758
#HLT_IsoMu24_v13,17,41,19467,5.264104827,5.076556735
#
#Sum delivered  : 14.487803110
#Sum recorded : 14.018038324
#Check JSON:
#(run,ls) in json but not in results: []
